movie_title,genre,release_date,director,lead_actor,box_office_sales,rating,production_company,country_of_origin,language,budget,sequel
Voyage to the Bottom of the Sea,Sci-Fi,7/26/2017,Kristos Barstowk,Rora Tewkesberry,4324043.98,1.3,Kamba,Jordan,Bosnian,911265.93,FALSE
Ugly,Drama,4/16/2017,Cleavland Bagster,Pauly Duckfield,4159673.1,1.5,Skiba,China,Lithuanian,826993.16,TRUE
That Cold Day in the Park,Sci-Fi,6/9/2003,Hardy Sprakes,Olia Pattlel,4210449.27,0.4,Gevee,South Korea,"Ndebele, North",697489.97,TRUE
Celestial Wives of the Meadow Mari (Nebesnye zheny lugovykh mari),Sci-Fi,10/11/2008,Percy Quilleash,Bevon Lambswood,6899824.89,8.9,Quire,Portugal,Bambara,298587.87,TRUE
Passion of Mind,Action,3/8/2016,Helsa Keaton,Wittie Oddey,2841752.13,6.5,Voonder,China,Polish,212977.52,FALSE
"Cook the Thief His Wife & Her Lover, The",Sci-Fi,11/4/2019,Edik Ferrarotti,Thurstan McGrah,2247436.92,4.7,Skyba,Philippines,Bengali,263351.21,FALSE
Cass,Comedy,3/19/2018,Radcliffe Geaveny,Cole Oty,229655.01,6.4,Gabtype,Philippines,French,668532.54,FALSE
Kill! (Kiru),Comedy,3/10/2002,Debora Driuzzi,Burke Daniaud,7001121.92,0.6,Kaymbo,Canada,Cree,21285.04,FALSE
Life 2.0,Drama,9/8/2017,Vevay McPeice,Samuele Emlyn,7712957.97,1,Zava,Philippines,Bengali,274593.29,TRUE
"It's Not Me, I Swear! (C'est pas moi, je le jure!)",Comedy,8/2/2002,Clemmy Sebert,Chery Pawden,9348715.66,5.2,Zoomcast,Brazil,Yiddish,827078.13,FALSE
Midnight Madness,Action,5/3/2009,Hermina Beneix,Alexei Reinhart,2730829.99,9.7,Eare,Ukraine,Malagasy,411061.3,FALSE
Cloudburst,Action,2/28/2006,Haskel Crockley,Serena Gormley,1182439.66,1.8,Zoomzone,Indonesia,Tswana,977239.29,FALSE
Royal Wedding,Drama,12/17/2012,Shelley Vigne,Christos Doncom,2005642.26,7.8,Topiclounge,Thailand,Russian,948787.44,TRUE
South Central,Horror,4/24/2015,Ethelin Garshore,Darin Inkles,7732055.8,0.3,Kimia,Thailand,Tonga (Tonga Islands),95421.3,TRUE
Double Tide,Comedy,5/25/2010,Guenevere Illem,Vincents Malpas,6708621.37,8.2,Skajo,China,Tajik,906987.13,FALSE
Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens),Drama,7/14/2001,Faythe Mathissen,Nadia Knocker,5786350.01,4.9,Skipfire,Indonesia,Nepali,613054.33,FALSE
Waking the Dead,Sci-Fi,6/20/2006,Esma O'Luby,Hal Britian,8351220.03,2.3,Skyndu,Panama,Turkish,903717.28,TRUE
John Doe: Vigilante,Horror,4/21/2019,Marion Muat,Luce Mingey,4799260.61,1.1,Plajo,Ukraine,Georgian,981304,FALSE
Bait,Horror,3/8/2012,Geri McPhelim,Creighton Jonsson,3997991.48,6.9,Agimba,China,Slovak,58927.63,FALSE
Countdown,Horror,7/6/2000,Wye Georgievski,Madelin Trenfield,3696787.32,6,Fadeo,Philippines,Serbian,731331.68,TRUE
Getaway,Horror,1/12/2020,Marlena Yesson,Kylie Wheelband,6236129.2,6.4,Buzzster,Indonesia,Romanian,250282.12,FALSE
Salaam Bombay!,Action,6/24/2001,Broderic O' Cloney,Arri Pischof,2956310.42,0.3,Tazzy,China,Hebrew,463858.22,FALSE
"Swamp, The (Ciénaga, La)",Sci-Fi,4/2/2013,Stacy Scholz,Lynna Ackrill,5533487.37,1.1,Yoveo,China,Uighur,465464.51,FALSE
Naturally Native,Sci-Fi,5/14/2020,Beitris Elverstone,Everett Blues,3142143.13,0.2,Avaveo,Portugal,Faroese,932243.68,TRUE
Clean,Comedy,4/3/2017,Darlleen Paolacci,Quinta Blatcher,8778003.43,5.6,Dynava,Nigeria,"Sotho, Southern",446883.95,FALSE
Song of the South,Comedy,11/19/2002,Patrizio Halbert,Grady Gavigan,3669723.67,1.7,Tambee,Ukraine,Northern Sami,380148.75,FALSE
FC Venus,Comedy,9/23/2017,Gennie Twist,Nathan Siddell,9639949.15,3.9,Topicblab,Czech Republic,Samoan,427964.07,TRUE
Dying of the Light,Horror,6/17/2001,Priscella Falk,Myrtle Fudge,803905.83,4,Mita,Brazil,Lingala,897446.83,TRUE
Little Witches,Horror,10/15/2014,Mikel Croot,Pace Bachellier,9885257.33,4.5,Fiveclub,France,Yoruba,243432.51,TRUE
"Private Lives of Pippa Lee, The",Comedy,10/24/2012,Robin Reggler,Maxwell Vasiliev,9873447.15,1.4,Mycat,Portugal,Icelandic,421274.79,FALSE
"Trip to Mars, A",Action,12/6/2001,Witty Tebald,Benyamin Illing,2491997.25,3.3,Dynava,Russia,Afar,530316.53,TRUE
Russendisko,Comedy,11/3/2014,Rance Sherville,Sergent Spurr,4195406.42,6,Vipe,China,Spanish,107907.32,FALSE
Elvis and Anabelle,Sci-Fi,4/3/2015,Jonah Tunnick,Nickie Stitson,9056694.07,8.7,Tagfeed,China,Pali,377216.51,TRUE
"I Love You, Man",Comedy,4/11/2000,Consalve Deekes,Jolie Esmond,6262790.81,2.5,Dabvine,Philippines,Luxembourgish,261579.21,FALSE
"War Wagon, The",Sci-Fi,10/22/2009,Catie Grigori,Eloisa Le Galle,2540118.44,9.8,InnoZ,Nigeria,"Ndebele, South",389776.02,TRUE
Burnt Money (Plata Quemada),Horror,4/28/2005,Tami Manass,Lauraine Stiger,9431822.79,0.3,Edgepulse,Russia,Northern Sami,169192.55,FALSE
Garfield: A Tail of Two Kitties,Drama,5/31/2006,Lorrie Kingsbury,Belvia Trimmell,2932394.62,4.2,Eabox,Portugal,Volapük,489064.84,TRUE
Scary Movie 3,Comedy,9/24/2013,Bianca Quarrington,Linette Tolefree,3657984.64,4.4,Livetube,Sweden,Luba-Katanga,600843.47,TRUE
Circus,Comedy,2/26/2018,Fax Tiltman,Kerry Comer,3961672.38,8.5,Jabberstorm,Sweden,Nepali,807896.01,FALSE
Pathfinder (Ofelas),Action,1/4/2012,Deck Camoletto,Gay Folkerts,7282015.05,8.2,Skyba,Russia,Danish,525580.46,FALSE
Gate of Hell (Jigokumon),Horror,5/3/2011,Brianna Downham,Aldus Ickovicz,2522268.28,1,Twinte,Saint Lucia,Tonga (Tonga Islands),810637.67,FALSE
"White Sound, The (Das weiße Rauschen)",Action,6/9/2004,Shelia Truwert,Cecelia Bunyard,5505416.51,2.1,Voonix,China,Romanian,992193.26,TRUE
Flight,Comedy,11/3/2019,Isac Presidey,Michele Legonidec,945652.89,7.2,Linklinks,Guatemala,Ojibwa,435271.97,FALSE
Taifu Club (Taifû kurabu),Sci-Fi,10/28/2018,Tamiko Scutts,Natalee Rydeard,7330012.5,4.5,Realmix,Denmark,Volapük,752069.34,FALSE
"Hi, Mom!",Comedy,5/26/2006,Didi Wait,Elsi Poundsford,856495.57,3.6,Babbleset,Indonesia,Norwegian,753035.57,TRUE
Seven Up!,Sci-Fi,7/7/2013,Sula Boatswain,Myrtice Lydford,2872876.23,5.5,Meembee,China,Pali,745673.45,TRUE
"Way of the Gun, The",Horror,8/16/2016,Walliw Ninnotti,Faber Stenton,793582.11,0.3,Dazzlesphere,China,Chichewa,830097.51,FALSE
Tibet: Cry of the Snow Lion,Horror,10/6/2017,Leonelle Howat,Vin Watkinson,358157.41,2.2,InnoZ,Philippines,Icelandic,335657.55,FALSE
Dawn of the Dead,Sci-Fi,6/17/2009,Pincus Paladini,Darby Sherwell,8320536.05,9.8,Brainbox,China,Vietnamese,521911.84,FALSE
Wild Horses (Caballos salvajes),Drama,5/26/2015,Nicholle Walsh,Titus Babin,8153315.24,6.9,Zoomcast,China,Sardinian,122401.54,FALSE
"Terminator, The",Comedy,7/23/2022,Fernande Bosma,Cyril Oxbrow,9152248.06,5.8,Jabbertype,Portugal,Bashkir,692466.07,FALSE
Resident Evil: Apocalypse,Sci-Fi,11/20/2005,Jackquelin Kave,Harriett Semrad,7025709.85,7.7,Muxo,Botswana,Kikuyu,639592.34,FALSE
Messengers 2: The Scarecrow,Sci-Fi,9/29/2008,Everett Feldhammer,Tamma Barbisch,5253790.43,8.1,Twimm,France,Navajo,480991.4,TRUE
Moscow on the Hudson,Action,2/13/2014,Maurits O'Hanley,Ola Beckensall,2457993.74,2.5,Jetpulse,China,Georgian,95788.53,FALSE
Algiers,Action,8/3/2010,Lilly Corkhill,Mozes Soot,9205377.91,2.8,Shufflester,Philippines,Faroese,868526.81,TRUE
Stranger on the Third Floor,Sci-Fi,12/22/2001,Georges Sawle,Theodore Stoter,9116432.61,8.1,Kimia,Portugal,Czech,19025.37,FALSE
Highlander: The Search for Vengeance,Comedy,8/23/2019,Chic Bamber,Fidelio Greenier,502560.36,7.2,Gigabox,China,Vietnamese,194077.87,FALSE
"House on Sorority Row, The",Comedy,5/22/2018,Pyotr Gounin,Shandra Kirstein,7569525.15,4.1,Skidoo,South Korea,Spanish,22205.39,FALSE
"Kiss Me, Guido",Sci-Fi,8/6/2009,Adelice Leabeater,Tabor Camelin,7144212.33,2.3,Oyoloo,Indonesia,Latin,829331.54,FALSE
Mr. Wu,Drama,2/28/2012,Larissa Dissman,Benjamin Hallums,6144285.08,4.3,Skibox,Russia,Lingala,513628.6,FALSE
Black Friday,Horror,2/13/2012,Darby Rennox,Kalina Lindmark,5628597.37,7,Brainbox,Brazil,Zhuang,28741.84,TRUE
The Concert for Bangladesh,Sci-Fi,8/10/2018,Janey Odde,Darb Windress,7085167.52,3,Fiveclub,Japan,Marshallese,806310.56,TRUE
Decision Before Dawn,Comedy,10/1/2015,Boonie Price,Reinhard Avramovsky,7855376.48,6.9,Yadel,Indonesia,Chuvash,280097.55,TRUE
"Hero: Love Story of a Spy, The",Drama,2/21/2020,Carolynn Postles,Micaela O'Cahsedy,5868798.97,4,Innotype,Philippines,Tibetan,529837.09,FALSE
Lasa y Zabala,Comedy,5/10/2021,Electra Caddock,Gaby Leeman,3775025.26,3.3,Zoomdog,Thailand,Tajik,398787.18,FALSE
Blood in the Mobile,Sci-Fi,9/7/2006,Amelita O'Hengerty,Joelly Paten,5401341.78,1.9,Yodo,Saudi Arabia,Swedish,503590.22,FALSE
Circles (Krugovi),Drama,5/31/2020,Elmira Kopecka,Roddy Petken,2392235.22,6.9,Voomm,Paraguay,Gaelic,462065.51,FALSE
Longtime Companion,Sci-Fi,4/12/2008,Ericka Olivie,Harrie Mack,2694514.26,9.9,Plajo,Philippines,Pushto,886939.07,FALSE
Emotion,Horror,11/21/2019,Gilbertine Oxford,Pansy Daviot,1234227.55,7.9,Jatri,Azerbaijan,Corsican,437540.94,TRUE
Make Like a Thief (Juokse kuin varas),Drama,10/21/2002,Audrie Bunting,Oliver Firmin,5316071.46,0.8,Linklinks,Indonesia,Chechen,182638.48,TRUE
"Damned, The (Les Maudits)",Comedy,5/30/2006,Orlan Trenoweth,Kimberlee Sissens,4893750.02,7,Wikivu,Russia,Oromo,894776.6,TRUE
Crumb,Horror,4/12/2004,Drugi Cuttle,Lucita Filkov,7791282.83,10,Eare,Japan,Tamil,680137.61,TRUE
Akira Kurosawa's Dreams (Dreams),Action,6/20/2019,Terrell Mackett,Querida Goricke,8044676.5,2.7,Jabbersphere,Czech Republic,Mongolian,703657.88,FALSE
Faithful,Sci-Fi,11/16/2020,Loralyn Macci,Edithe Truett,7063442.17,4.6,Kwinu,China,Interlingue,472855.83,TRUE
Disturbing Behavior,Action,6/30/2022,Viole Maric,Inglebert de Clerk,9024316.32,7.6,Yakijo,France,Ido,562703.76,FALSE
Dream Land,Sci-Fi,6/10/2007,Charity Ling,Claudia Rusbridge,8407443.8,1.8,Dabvine,Jordan,Kannada,261981.38,FALSE
"Expendables 2, The",Drama,6/23/2013,Bunnie Quinion,Mommy Aiston,1912471.18,8.2,Blogtag,Russia,Western Frisian,44576.47,TRUE
Chicken Run,Comedy,8/4/2016,Ber Gorman,Clyde Kytley,7982107.34,5.9,Layo,Serbia,Polish,690357.5,TRUE
"Lonely Place to Die, A",Drama,12/28/2007,Michaeline Langeren,Carlin Allans,8703411.5,1,Dynazzy,Portugal,Ukrainian,138039.08,TRUE
Chocolate Strawberry Vanilla,Comedy,11/11/2021,Maddy Dampney,Putnem Adaway,7563020.93,6.8,Twinte,Colombia,Corsican,707896.72,FALSE
Why Has Bodhi-Dharma Left for the East?: A Zen Fable (Dharmaga tongjoguro kan kkadalgun),Comedy,3/19/2020,Brantley Pauel,Willi Minty,7390273.75,3.9,Mynte,Japan,Hiri Motu,885673.54,FALSE
Streets of Fire,Sci-Fi,12/12/2003,Terrence Koba,Trixy Kingston,6027748.38,9.3,Photospace,Ukraine,Northern Sami,846193.17,FALSE
Facing Ali,Sci-Fi,1/23/2006,Roberto Ockendon,Connor Burd,4307032.69,5.4,Devify,Russia,Pushto,503135.17,TRUE
Deliver Us From Evil,Action,7/12/2009,Norrie Turbayne,Tuck Erskin,132160.6,1.9,Divape,Finland,Shona,568563.78,FALSE
Down Argentine Way,Sci-Fi,5/19/2022,Raquel Jermey,Ramona Maffezzoli,9677364.56,2.9,Fanoodle,Brazil,"Ndebele, North",990182.31,TRUE
Harper Valley P.T.A.,Sci-Fi,3/2/2011,Si Caldecourt,Willis Shillan,4437830.03,3,Avavee,Greece,Avestan,265385.65,TRUE
S.O.S. Eisberg,Horror,5/14/2011,Zack Manntschke,Stephenie Macoun,8350023.55,2.2,Bubblebox,Iran,Malagasy,516523.46,FALSE
Hit Squad,Horror,3/21/2014,Reece Fellow,Carita Woolaghan,6186938.56,7.1,Yoveo,China,Kinyarwanda,862797.57,TRUE
Boys Town,Action,9/9/2010,Ewart Penhaligon,Ferdinand Hyrons,7573350.34,4,Mydo,Thailand,Amharic,921929.13,TRUE
"Brass Teapot, The",Comedy,3/14/2006,Torre Hucklesby,Robbin Aguirrezabala,4023837.14,7.1,Twitterbridge,Greece,Irish,75999.8,FALSE
Alive and Ticking (Ein Tick anders),Sci-Fi,10/20/2000,Gerry Kliesl,Osbert Mount,1531283.03,4,Jabbersphere,Russia,Tigrinya,949078.06,FALSE
Mammuth,Drama,3/15/2009,Noemi McCollum,Katina Ramlot,8177963.65,7.1,Latz,Portugal,Arabic,526074.36,FALSE
Miranda,Comedy,6/18/2006,Vick Kleint,Carolyne Tottie,6951507.73,0.8,Zoomlounge,Tanzania,Sinhala,63153.46,TRUE
Cimarron,Sci-Fi,4/27/2003,Thelma Lait,Hammad Dumbare,9452908.99,1.7,Edgepulse,China,Luba-Katanga,939504.02,FALSE
Dead Silence,Sci-Fi,4/5/2009,Corey Haverson,Yale Sleigh,666709.9,7.4,Linklinks,Germany,Chechen,612176.27,FALSE
Crimes and Misdemeanors,Drama,12/25/2014,Chiarra Ridde,Colby Callar,5935302.48,2.9,Rhyloo,Philippines,Lao,855282.47,FALSE
Where the Day Takes You,Drama,9/27/2008,Daisi Engel,Starla Albasini,9133949.71,8.4,Skippad,Venezuela,Tatar,273621.68,TRUE
"I Are You, You Am Me (Tenkosei)",Drama,9/5/2004,Gloria Kunert,Callean Fraczak,3956104.37,9.6,Minyx,China,Welsh,35902.56,TRUE
Sunshine on Leith ,Drama,1/29/2012,Maudie Marshallsay,Esmaria Minichillo,2451449.84,4.1,Yodel,Honduras,Welsh,430040.77,TRUE
The Brain,Horror,12/18/2015,Lynda McIan,Elvira Jankovsky,6877951.56,9.6,Mydo,Guatemala,Ossetian,112682.16,TRUE
Dangerous Ground,Sci-Fi,10/22/2011,Merralee Cornilli,Camel Follis,9757612.47,6,Jabbersphere,Indonesia,Japanese,722990.19,FALSE
Porky's II: The Next Day,Drama,9/24/2012,Tybi Tidder,Cherin Bispo,4529591.66,0.8,Eayo,Mali,Malayalam,815410.92,TRUE
Fat City,Comedy,3/7/2010,Giraud Starmont,Riley Gutridge,1514502.07,1.7,Yata,United States,Ossetian,774833.45,TRUE
En rachâchant,Horror,12/31/2000,Worth Shakesby,Angelico Lieber,9886692.68,3.9,Jayo,Russia,Slovak,465936.37,TRUE
Go,Sci-Fi,7/27/2021,Julietta Hamal,Stillman Gahan,3373573.69,3.1,Twitterworks,Philippines,Estonian,435978.78,TRUE
Destiny Turns on the Radio,Action,6/18/2014,Nikola Dobbs,Garey Mohammad,9160668.58,7,Linkbuzz,Brazil,Romansh,988288.93,FALSE
"Moderns, The",Drama,5/22/2009,Englebert Ramas,Cherry Jack,4054327.74,0.7,Zoomcast,Ukraine,"Sotho, Southern",832322.74,FALSE
Deliver Us From Evil,Horror,2/23/2008,Claudianus Shobrook,Dimitry Kamen,3449453.04,5.7,Zoomzone,Spain,Russian,238282.21,TRUE
Salaam-E-Ishq,Sci-Fi,3/2/2007,Forbes Drivers,Barn Schaumaker,8254960.61,3.7,Browsetype,Russia,Uighur,197796.1,FALSE
Elvis and Anabelle,Comedy,5/29/2004,Honoria Kitchener,Spense Durrance,6108769.04,4.8,Flashset,Poland,Abkhazian,167399.08,FALSE
"Woman in The Septic Tank, The (Ang Babae sa septic tank)",Sci-Fi,12/26/2008,Thibaut Gremain,Tamqrah Feathers,2117304.44,4.5,Topicware,Ukraine,Chamorro,652875.9,TRUE
"Hit List, The",Comedy,9/1/2019,Alfredo Arrault,Ardyth Ibbetson,9358052.42,9.9,Skyndu,Greece,Chinese,528860.49,FALSE
Hi-Life,Action,6/1/2021,Darwin Cavanagh,Kenna Cremen,6962363.85,1.6,Quire,United States,Zhuang,16819.24,TRUE
Outside Ozona,Horror,7/26/2009,Enos Michelin,Alfred Bevis,7151098.57,2.6,Cogidoo,Philippines,Telugu,877178.98,TRUE
Dance with the Devil (Perdita Durango),Sci-Fi,4/21/2016,Noble Fee,Devlen Narbett,9242433.54,8,Brainlounge,China,Abkhazian,927613.21,TRUE
Wasabi,Action,5/21/2001,Wright Augur,Ewell De Meyer,226773.05,5.7,Edgewire,United States,German,957718.49,FALSE
Suicide Kings,Drama,6/22/2010,Chandal Switsur,Kennan Cabotto,3423680.12,4.2,Quimba,Indonesia,Northern Sami,997064.58,TRUE
Miss Bala,Action,11/2/2005,Saunderson Fairfoot,Wait Bucke,5548526.97,8.1,Teklist,Philippines,Oromo,375338.2,FALSE
Interrogation (Przesluchanie),Drama,6/20/2002,Jedediah Evetts,Dominic Philpots,3707025.46,3.3,Muxo,China,Maori,183704.92,TRUE
King David,Action,7/28/2001,Darcy Mees,Rip Mattessen,1692145.69,5.9,Linktype,Mexico,Tibetan,917325.44,TRUE
Holes in My Shoes,Action,12/20/2005,Kelley Ashling,Shayne Steffan,8337854.62,4.6,Yombu,Indonesia,Northern Sami,797547.12,TRUE
Rowing with the Wind (Remando al viento),Action,8/14/2020,Lelia Husbands,Torrence Aldrich,3404645.36,4.8,Fliptune,China,Sardinian,868264.64,FALSE
"Lawless Frontier, The",Sci-Fi,1/15/2012,Noreen Jordin,Bucky Knath,9574778.17,4.9,Zoozzy,Vietnam,Korean,776601.72,FALSE
Shadows Over Chinatown,Action,8/16/2005,Wyatan McIlmorow,Reginauld Nobriga,7291168.85,9.2,Tekfly,Japan,Marshallese,725102.18,FALSE
Nightcrawler,Drama,1/5/2014,Izzy Butterwick,Abdul Flear,5534950.88,7.2,Edgepulse,Russia,Lao,517284.04,TRUE
We Were Soldiers,Action,2/19/2006,Loralyn McTrustrie,Rochella Christley,1874875.49,5.3,Kwideo,Turkey,Tonga (Tonga Islands),968804.25,TRUE
Agenda: Grinding America Down,Sci-Fi,1/26/2002,Eliza Reddan,Lanette Mayhead,8544379.95,2.6,Voonte,United States,Lao,475384.08,FALSE
Electric Dreams,Action,1/14/2003,Lorettalorna Kettlestring,Simeon Osbiston,9338475.18,4.9,Omba,Indonesia,Armenian,762434.54,FALSE
"Scarlet Letter, The",Sci-Fi,3/4/2009,Dolley Fishburn,Andie Chataignier,2915312.01,7.3,Quatz,Indonesia,Shona,464633.17,TRUE
Lost & Found,Action,4/28/2018,Alexina Stollenberg,Lovell Johnes,243941.9,3.9,Quimm,Vietnam,Serbian,437238.81,TRUE
Sun on the Horizon,Sci-Fi,10/26/2018,Roland Lethardy,Aldus Loveitt,9781466.49,3.3,Browsecat,Ukraine,Norwegian,117009.42,FALSE
Bad Timing: A Sensual Obsession,Action,6/18/2006,Aluino Paoletto,Fina Baistow,8172518.16,8.8,Jetwire,Indonesia,Sango,760962.49,FALSE
Naked Lunch,Sci-Fi,2/13/2016,Colan Penrose,Leshia Prigmore,8969872.59,2.6,Skippad,United States,Spanish,424055.1,FALSE
"Unforgettable Summer, An (Un été inoubliable)",Horror,6/30/2004,Tildy de Courcy,Marcille Hasel,8893092.04,2.1,Jaxworks,Netherlands,Hungarian,220121.32,TRUE
Adventureland,Sci-Fi,4/24/2000,Salmon Restorick,Timi Suston,3246444.25,7.9,Jazzy,China,Tigrinya,430283.37,FALSE
Logorama,Action,7/21/2011,Flynn Note,Ferne Russilll,3275316.28,6.5,Yozio,Philippines,"Bokmål, Norwegian",52222.15,FALSE
My Life in Pink (Ma vie en rose),Drama,2/27/2005,Aubree Parlett,Hedvig Leindecker,4485361.76,5.5,Mita,Honduras,Yoruba,582634.48,FALSE
"Fog, The",Sci-Fi,10/14/2001,Estrella Brack,Kendrick Bess,1131211.42,9.3,Quatz,Iran,Armenian,531992.01,TRUE
Dragonheart,Action,6/20/2014,Ricki Friend,Joane Hidderley,800456.8,5.7,Rhyloo,Brazil,Volapük,956333.46,TRUE
Jack's Back ,Comedy,7/5/2017,Haley Vaun,Willabella Parnall,3933946.43,5,Yakidoo,Syria,Polish,868298.66,FALSE
Horror Planet (a.k.a. Inseminoid),Drama,11/26/2014,Lennard Piborn,Aidan Heigold,7979455.41,2.4,Yacero,China,Telugu,662224.87,FALSE
"Man, The",Drama,11/25/2018,Stuart Hartfield,Delmar Boatwright,1298467.97,4,Dabfeed,Greece,Danish,470724.11,FALSE
"Glass Menagerie, The",Horror,4/10/2006,Shanon Roobottom,Lyman Hassewell,1197652.3,8.8,Meembee,Canada,Rundi,729566.55,FALSE
"Tailor of Panama, The",Action,4/25/2003,Sawyer Bonnett,Mariam Sinnott,2081322.14,0.9,Digitube,Cambodia,Bulgarian,166039.3,TRUE
Shoot 'Em Up,Drama,8/12/2013,Anthe Acutt,Clem Darling,968927.37,10,Dabvine,China,Kashmiri,315745.11,TRUE
Manhattan Murder Mystery,Comedy,10/2/2020,Ogdan Shreeves,Bennett Hodgets,4128401.36,6.9,Oyope,China,Limburgan,475136.73,TRUE
Manito,Sci-Fi,10/30/2016,Arden Thurbon,Chip Baumaier,5101283.78,9.3,Eabox,Mali,Rundi,94585.25,TRUE
Reeker,Drama,6/29/2019,Karee Dewberry,Pearl Blaszkiewicz,2220264.32,5.2,Jatri,Spain,Guarani,245943.83,TRUE
My Avatar and Me (Min Avatar og mig),Action,7/17/2016,Jean McKitterick,Riannon Ballantine,9054331.79,0.9,Fatz,Micronesia,Inupiaq,513215.86,TRUE
Carnosaur 3: Primal Species,Comedy,5/6/2009,Skyler Bockler,Dre MacGaughey,3219845.11,9,Skipstorm,France,Hungarian,391794.25,TRUE
Christopher Strong,Action,7/7/2012,Bronnie Jambrozek,Reinald Crambie,5579914.31,9.6,Wordpedia,Myanmar,Zhuang,20474.56,TRUE
"Reivers, The",Horror,1/22/2008,Robby Hehir,Sada Antonio,2138676.89,5.6,Ntags,United States,Breton,584147.13,TRUE
Thunder Rock,Horror,4/29/2020,Othilie Epinay,Aurlie Kestle,5255096.77,3.1,Meevee,Ukraine,Malayalam,165075.55,TRUE
Salaam Namaste,Horror,6/10/2004,Hort Chisholme,Lynnett Honig,6499319.17,7,Bluezoom,Ukraine,Lithuanian,811230.51,FALSE
Mahogany,Drama,2/26/2002,Moritz Carratt,Darcie Djakovic,3661131.67,1.2,Youbridge,Ukraine,Marathi,233273.67,FALSE
Road to Rio,Sci-Fi,2/11/2008,Manda Meadmore,Emmery Francello,6126796.84,2.1,Twinte,United States,Italian,339735.04,FALSE
Them!,Comedy,8/19/2015,Iseabal Bezants,Charmion Ivanikov,1233783.67,7.9,Meeveo,China,Xhosa,185253.22,TRUE
Pride and Prejudice,Comedy,1/29/2021,Gan Djurkovic,Rayna Thay,1789888.19,8.8,Yombu,Czech Republic,Ukrainian,673388.34,TRUE
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea),Action,4/4/2022,Gerladina Bradock,Daryle Snuggs,4269811.51,8.8,Brightdog,Sweden,Georgian,294679.01,FALSE
Paheli,Drama,10/21/2021,Daffi Abatelli,Ingeberg Eger,743447.41,7.2,Roombo,Israel,Ido,340752.34,TRUE
Little Criminals,Action,8/18/2001,Pasquale Blancowe,Lenna Jeary,4971257.35,8.7,Vimbo,Honduras,Kanuri,736129.62,FALSE
Another Me,Sci-Fi,3/11/2019,Sherwynd Purvey,Susi Skeat,7257944.11,3.6,Quimm,Indonesia,Tswana,34495.79,FALSE
Crime Zone,Horror,10/23/2006,Willie Burrett,Martie Greenwood,9729180.94,7.3,Ntag,China,Cree,920322.12,TRUE
Terms and Conditions May Apply,Action,3/19/2017,Alice Duncanson,Natty Fielders,9540146.23,1.7,Yombu,Spain,Central Khmer,992327.36,TRUE
"Planet of the Future, The",Comedy,5/29/2004,Chrissy Godsell,Tobias Giacovetti,4178721.91,8.5,Pixonyx,Poland,Turkmen,887652.12,TRUE
Snow Falling on Cedars,Comedy,8/8/2022,Marlin Grishkov,June Blooman,2472782.16,5.9,Dablist,Ukraine,Limburgan,332821.67,FALSE
Human Traffic,Sci-Fi,12/20/2005,Liana Gue,Fannie Casotti,4293137.71,6.9,Zoomzone,Japan,Basque,549283.53,FALSE
SubUrbia,Sci-Fi,8/19/2012,Deonne Manston,Clary Heitz,8531845.21,5.5,Jaxspan,China,Bosnian,309988.19,FALSE
Rally On! (Ralliraita),Comedy,2/16/2012,Isak Arndell,Berkie Aspin,5082363.88,1.5,Cogidoo,Colombia,Kuanyama,453716.54,FALSE
Let Him Have It,Action,8/21/2019,Clayborn Webling,Emilee Ilyukhov,5277286.16,8.7,Aimbo,Philippines,Armenian,306759.99,TRUE
Free Willy 2: The Adventure Home,Sci-Fi,7/8/2013,Base Simanenko,Ramsay Martinetto,4276022.85,1,Jabberbean,Russia,Slovak,256773.26,FALSE
Loaf and Camouflage,Sci-Fi,6/21/2008,Celinda Binder,Nickie Athridge,1503102.91,9.8,Chatterbridge,China,Serbian,895548.9,FALSE
Homecoming,Action,4/16/2019,Perle Lowey,Marne Gresham,9054824.1,8.2,Rhyzio,Sri Lanka,Interlingua (International Auxiliary Language Association),293530.8,TRUE
Forget Paris,Horror,12/13/2010,Coop Tedman,Flossi Easton,4776985.17,8.8,Twitterbeat,China,Oriya,269528.8,FALSE
Cheech & Chong's The Corsican Brothers,Comedy,5/30/2009,Fayina Toplis,Karlens Cobbledick,8842189.22,10,Topdrive,United States,Assamese,938195.04,TRUE
"Whisperers, The",Sci-Fi,10/31/2001,Cooper Luquet,Dynah Wingrove,3871845.5,3.5,Skivee,Benin,Central Khmer,185548.94,TRUE
Revenge,Sci-Fi,3/28/2004,Pauline Cuer,Benson Gilbane,8948507.01,4,Livetube,Philippines,Faroese,734691.03,TRUE
"Injury to One, An",Sci-Fi,7/27/2017,Marla Derry,Cherish Supple,4868677.54,9.9,Skiptube,China,Macedonian,664785.8,TRUE
Sunset Blvd. (a.k.a. Sunset Boulevard),Sci-Fi,11/11/2016,Margarita Muggeridge,Stanton Copozio,8466019.62,0.8,Photobean,Philippines,Kannada,388639.57,FALSE
"Macbeth (a.k.a. Tragedy of Macbeth, The)",Horror,7/1/2012,Robers Deare,Dorita Everit,7658789.91,1.9,Photobug,Mexico,Chinese,102616.59,TRUE
